,u,g,r,i,z,redshift
0,19.09193,17.86146,17.34277,16.99911,16.792460000000002,0.06671646
1,19.99864,17.97824,16.97658,16.525479999999998,16.18047,0.12161717000000001
2,21.3546,19.08551,17.64716,17.130020000000002,16.768629999999998,0.2272649
3,19.45749,17.71719,16.959120000000002,16.6039,16.345670000000002,0.06808996
4,19.58866,17.984289999999994,17.23228,16.8559,16.5243,0.07864055
5,21.48726,19.09873,17.66684,17.10106,16.7712,0.21732650000000003
6,17.73339,16.71486,16.41702,16.21477,16.1083,0.03956231
7,17.91927,16.68965,16.26973,15.97756,15.90915,0.041726545000000004
8,20.7851,18.67885,17.204929999999994,16.64238,16.31031,0.18836809999999998
9,16.98516,15.77897,15.292370000000002,15.02964,14.79433,0.03584791
10,20.9155,18.74272,17.33586,16.80656,16.42595,0.19982505
11,20.22135,18.49881,17.74995,17.347720000000002,17.09464,0.11930007000000002
12,18.798,17.00021,16.116039999999998,15.66969,15.38644,0.05700510166666667
13,20.7059,18.93596,17.85924,17.37409,17.01736,0.15134018000000002
14,19.82934,18.52765,17.70818,17.2778,16.9539,0.11754520999999998
15,16.774160000000002,15.39927,14.845020000000002,14.564279999999998,14.4361,0.029432844999999996
16,18.94464,17.90973,17.62769,17.422710000000002,17.346410000000002,0.06549722
17,20.53677,18.55817,17.4951,16.98721,16.60135,0.1507684333333333
18,19.05704,17.830779999999994,17.23246,16.83013,16.62528,0.10116178
19,20.73502,18.58605,17.17311,16.620179999999998,16.252010000000002,0.15107669
20,20.41964,18.49088,17.69175,17.334220000000002,17.078039999999998,0.09536436000000001
21,19.28163,17.3575,16.482120000000002,16.08959,15.77293,0.07031455333333334
22,19.00261,17.49018,16.68834,16.29175,15.97556,0.08130788
23,20.0543,18.66887,17.824820000000006,17.3808,17.04285,0.137640975
24,20.86577,18.97923,17.69528,17.218320000000002,16.877489999999998,0.19852150000000002
25,20.69656,18.68085,17.18477,16.65752,16.301289999999998,0.19413545
26,20.25999,18.55005,17.50229,17.0524,16.72671,0.14634243333333335
27,18.28609,17.25774,17.10856,16.82754,16.80196,0.043172725
28,19.69743,18.48256,17.75529,17.381079999999994,17.11401,0.13946768999999998
29,19.72105,18.25182,17.48956,17.12856,16.84856,0.12201164499999999
30,20.58137,18.84329,17.59147,17.059820000000002,16.68552,0.1805034
31,17.3871,15.88599,15.20823,14.81886,14.552879999999998,0.04108251
32,20.63813,18.79938,17.684089999999994,17.206870000000002,16.83607,0.15592419999999999
33,19.20529,18.08887,17.633570000000006,17.349529999999998,17.21025,0.059405825
34,19.86525,18.26228,17.36386,16.9665,16.59816,0.10046757999999997
35,20.36534,18.52814,17.55111,17.1481,16.7843,0.12748144
36,20.31131,18.15814,17.11329,16.62061,16.24995,0.14229604999999998
37,18.15538,16.939329999999998,16.32726,16.0103,15.7642,0.06491024
38,19.17383,18.09209,17.64301,17.310489999999998,17.18074,0.081503875
39,19.924570000000006,18.27165,17.49309,17.10824,16.82705,0.09253530499999998
40,18.24259,17.36986,17.02092,16.688670000000002,16.65718,0.042521144999999996
41,19.95727,18.481720000000006,17.57218,17.11346,16.86693,0.13181739
42,19.92024,18.38158,17.51184,17.10555,16.85693,0.15111939000000002
43,18.30308,17.10613,16.466839999999998,16.08553,15.865429999999998,0.06284888000000001
44,20.37375,18.46297,17.37472,16.953670000000002,16.58168,0.14169213333333333
45,19.66902,17.59093,16.57689,16.144660000000002,15.79646,0.1284439
46,18.72385,16.81796,15.9603,15.56801,15.235129999999998,0.07584021999999999
47,19.5365,18.21826,17.645220000000005,17.338070000000002,17.11447,0.10156744000000002
48,19.11804,18.04995,17.43017,17.061770000000006,16.83606,0.07148913600000001
49,20.24288,18.16171,17.02618,16.56425,16.20864,0.1510574
50,17.94776,16.44783,15.75335,15.36832,15.08884,0.05697019
51,18.22668,16.95597,16.62059,16.3721,16.179679999999998,0.041242653000000004
52,18.58451,17.42737,16.89741,16.581979999999998,16.37131,0.053440869999999994
53,19.54329,17.52127,16.47205,16.03888,15.669620000000002,0.11426158
54,18.28974,16.76994,16.10378,15.76202,15.55498,0.06319816000000002
55,18.66453,17.42393,16.94676,16.606189999999998,16.45092,0.05018689999999999
56,19.95781,18.25558,17.48539,17.11926,16.85318,0.101345205
57,20.57999,18.47598,17.36956,16.91271,16.54014,0.14041595
58,19.90408,18.42724,17.67933,17.316879999999998,17.056820000000002,0.09007103999999999
59,20.19501,18.2661,17.3522,16.94415,16.60258,0.10048090999999999
60,16.74051,14.95811,14.158829999999998,13.76954,13.54142,0.021260805
61,19.55814,17.58734,16.66687,16.2273,15.90935,0.09916997000000001
62,20.05618,18.25275,17.36965,16.90154,16.54358,0.11409904999999998
63,19.60442,18.21461,17.44011,17.022660000000002,16.77433,0.10865946000000001
64,19.23708,18.0091,17.20243,16.82026,16.55038,0.12122272
65,18.92143,17.75646,17.25927,16.96886,16.74695,0.07760301
66,20.61788,18.56745,17.462239999999998,17.0161,16.5811,0.1544379333333333
67,19.24633,17.26227,16.36272,15.95336,15.61193,0.09589974500000001
68,19.95059,18.17248,17.230629999999998,16.809060000000002,16.5091,0.11563473999999999
69,19.57495,18.24378,17.53686,17.076529999999998,16.80325,0.11528339000000001
70,20.55576,18.53313,17.37629,16.92616,16.53755,0.14682844999999997
71,19.61989,17.74941,16.86188,16.46818,16.12878,0.10963366999999999
72,19.33312,18.13547,17.55842,17.21634,17.02604,0.09264367999999999
73,20.3843,18.54354,17.405520000000006,16.939429999999998,16.60484,0.1465175
74,19.58088,18.07849,17.28295,16.85128,16.56679,0.09929961000000001
75,20.95221,18.64669,17.48413,17.01347,16.66104,0.16746979999999997
76,19.01155,17.08524,16.27855,15.91067,15.589720000000002,0.07151853
77,20.13005,18.36588,17.335079999999998,16.825960000000002,16.353279999999998,0.13572668000000002
78,20.33832,18.65023,17.77024,17.36775,17.085910000000002,0.10236494
79,20.82754,18.78767,17.57272,17.09451,16.72634,0.1735903
80,19.37241,17.621760000000005,16.76266,16.36346,16.06921,0.08035442
81,20.67228,18.81269,17.567729999999994,17.073629999999998,16.71554,0.1799132
82,18.90059,18.08895,17.74606,17.59742,17.491870000000002,0.09210929999999999
83,18.56591,17.34357,16.8953,16.59194,16.44441,0.04022987
84,18.89064,17.59512,16.88976,16.52228,16.24305,0.099340285
